IMGUI_UPDATE,94
RENDER,237
TOTAL_FRAME,378
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,108
RENDER,248
TOTAL_FRAME,408
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,101
RENDER,287
TOTAL_FRAME,470
INPUT_HANDLING,10
FIXED_UPDATE,0
EDITOR_UPDATE,1
IMGUI_UPDATE,173
RENDER,237
TOTAL_FRAME,471
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,88
RENDER,202
TOTAL_FRAME,334
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,89
RENDER,199
TOTAL_FRAME,332
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,198
TOTAL_FRAME,328
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,201
TOTAL_FRAME,330
INPUT_HANDLING,342
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,126
RENDER,198
TOTAL_FRAME,716
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,196
TOTAL_FRAME,326
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,195
TOTAL_FRAME,323
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,199
TOTAL_FRAME,327
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,198
TOTAL_FRAME,326
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,196
TOTAL_FRAME,325
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,234
TOTAL_FRAME,364
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,192
TOTAL_FRAME,319
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,205
TOTAL_FRAME,335
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,220
TOTAL_FRAME,351
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,231
TOTAL_FRAME,374
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,1
IMGUI_UPDATE,95
RENDER,223
TOTAL_FRAME,369
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,84
RENDER,221
TOTAL_FRAME,350
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,221
TOTAL_FRAME,349
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,205
TOTAL_FRAME,332
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,193
